,Airline,Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Codeshare,Stops,Equipment,Name_x,ICAO,Callsign,Country_x,Active,Name_y,City,Country_y,IATA,Latitude,Longitude,Altitude,Timezone,DST,Timezone.1
0,2B,410,AER,2965,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
1,2B,410,ASF,2966,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
2,2B,410,ASF,2966,MRV,2962,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
3,2B,410,CEK,2968,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
4,2B,410,CEK,2968,OVB,4078,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
5,2B,410,DME,4029,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
6,2B,410,DME,4029,NBC,6969,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
7,2B,410,DME,4029,TGK,\N,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
8,2B,410,DME,4029,UUA,6160,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
9,2B,410,EGO,6156,KGD,2952,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
10,2B,410,EGO,6156,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
11,2B,410,GYD,2922,NBC,6969,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
12,2B,410,KGD,2952,EGO,6156,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
13,2B,410,KZN,2990,AER,2965,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
14,2B,410,KZN,2990,ASF,2966,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
15,2B,410,KZN,2990,CEK,2968,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
16,2B,410,KZN,2990,DME,4029,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
17,2B,410,KZN,2990,EGO,6156,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
18,2B,410,KZN,2990,LED,2948,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
19,2B,410,KZN,2990,SVX,2975,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
20,2B,410,LED,2948,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
21,2B,410,LED,2948,NBC,6969,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
22,2B,410,LED,2948,UUA,6160,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
23,2B,410,MRV,2962,ASF,2966,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
24,2B,410,NBC,6969,DME,4029,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
25,2B,410,NBC,6969,GYD,2922,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
26,2B,410,NBC,6969,LED,2948,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
27,2B,410,NBC,6969,SVX,2975,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
28,2B,410,NJC,2972,SVX,2975,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
29,2B,410,NJC,2972,UUA,6160,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
30,2B,410,NUX,4364,SVX,2975,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
31,2B,410,OVB,4078,CEK,2968,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
32,2B,410,OVB,4078,SVX,2975,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
33,2B,410,SVX,2975,KZN,2990,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
34,2B,410,SVX,2975,NBC,6969,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
35,2B,410,SVX,2975,NJC,2972,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
36,2B,410,SVX,2975,NUX,4364,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
37,2B,410,SVX,2975,OVB,4078,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
38,2B,410,TGK,\N,DME,4029,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
39,2B,410,UUA,6160,DME,4029,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
40,2B,410,UUA,6160,LED,2948,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
41,2B,410,UUA,6160,NJC,2972,,0,CR2,Aerocondor,ARD,AEROCONDOR,Portugal,Y,,,,,,,,,,
42,2G,1654,BTK,2936,IKT,2937,,0,A81,Cargoitalia,CRG,WHITE PELICAN,Italy,N,,,,,,,,,,
